repo_idx,nombre,stars,weighted_degree,pagerank,betweenness
4,rasbt/LLMs-from-scratch,91729,1327,0.005068610057639762,0.0543851406414586
180,tensorzero/tensorzero,11289,1176,0.004339351587372815,0.03422431126985167
58,d2l-ai/d2l-en,28729,1331,0.004037018625422297,0.010659709856925804
124,bharathgs/Awesome-pytorch-list,16486,1269,0.00403156377326537,0.009502557477253244
87,huggingface/datasets,21469,1198,0.003896503093331249,0.019558873038112143
411,explosion/thinc,2891,1214,0.0037309823665298515,0.011666730936480123
34,roboflow/supervision,38259,1090,0.003653300286720701,0.009849646579879369
76,lukasmasuch/best-of-ml-python,23453,1195,0.003600675995736941,0.007981659804302469
164,tangyudi/Ai-Learn,12946,1180,0.0035539343022425647,0.008822853687215318
551,catalyst-team/catalyst,3376,1072,0.0035357016804560782,0.008649394193943285
335,rohitg00/ai-engineering-from-scratch,5834,1067,0.0035281647142829577,0.03429192779669949
70,deepset-ai/haystack,25024,958,0.0035117280166285024,0.010622121284260466
44,explosion/spaCy,33528,1076,0.0034705275726379047,0.006371621806623496
788,teddylee777/machine-learning,2835,1043,0.003398140176059723,0.0054281841560386065
2130,ayoolaolafenwa/PixelLib,1072,941,0.0033254403452322406,0.004942617760396493
1178,datadreamer-dev/DataDreamer,1113,994,0.003270815336067802,0.025816187724060753
928,flwrlabs/flower,6868,910,0.003112403601883161,0.00628710331629495
383,ml-tooling/ml-workspace,3541,1034,0.0030968883920857062,0.005111431357422302
29,ray-project/ray,42373,964,0.0030635419442755986,0.0073823213254070865
2087,lightly-ai/lightly-train,1437,848,0.003024650143996267,0.004057801716375098
197,autogluon/autogluon,10269,1014,0.0030243556472282183,0.00925482384908504
248,liyupi/ai-guide,12768,803,0.002978849940938347,0.0068028930212561305
1028,TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,3989,1010,0.0029621707634159755,0.004564054625924492
2,huggingface/transformers,160100,870,0.002914649472723919,0.0067236802728286825
435,github/CodeSearchNet,2426,926,0.0029079906941446303,0.0039346821316284
1197,Denis2054/Transformers-for-NLP-2nd-Edition,962,841,0.0028393208071547326,0.005467131636151075
181,kornia/kornia,11191,853,0.0027833324782613796,0.006260756596646963
150,microsoft/nni,14351,896,0.0027243975728485316,0.004366846300745306
1193,kennethleungty/Llama-2-Open-Source-LLM-CPU-Inference,976,757,0.002713478331179094,0.012289885258987658
92,AccumulateMore/CV,20524,828,0.0027132450476190636,0.01813347357182113
344,Nyandwi/machine_learning_complete,5003,946,0.0027087591663930953,0.004434477919099121
1294,yamadashy/repomix,24109,692,0.0026975640784372063,0.000708166848499971
537,hemansnation/AI-Engineer-Headquarters,3668,932,0.002685953657834699,0.006259853236079594
639,ashishpatel26/Andrew-NG-Notes,3672,882,0.0026532507371613183,0.0035870335324722368
2655,AnshMittal1811/MachineLearning-AI,212,713,0.002643974632202457,0.004243551705520806
722,nivu/ai_all_resources,1468,848,0.0026068409142780556,0.003631377765957682
18,ultralytics/ultralytics,56603,748,0.0025945504446210697,0.00343094309124652
430,curiousily/Getting-Things-Done-with-Pytorch,2490,715,0.0025529596247046565,0.0033439789166044525
1066,osmr/imgclsmob,3018,737,0.0025522130762537817,0.0033882432042997884
1116,linto-ai/whisper-timestamped,2807,549,0.0025514598196821176,0.0003491073030214026
867,code-kern-ai/refinery,1469,802,0.00254535996032128,0.004280588230636406
1234,langchain-ai/langchain,135426,676,0.002515232832110079,0.0009469763229996416
859,bfelbo/DeepMoji,1553,822,0.0025110200158825597,0.005829932456714498
177,ludwig-ai/ludwig,11681,820,0.0025071936065745692,0.007731905881529866
797,dipanjanS/practical-machine-learning-with-python,2378,836,0.0025021768574411307,0.004339272110437543
1032,SwanHubX/SwanLab,3888,841,0.0024913427196537156,0.005953890685490564
638,polyaxon/polyaxon,3704,816,0.0024678019379204934,0.003491526828047142
544,podgorskiy/ALAE,3519,722,0.0024457580988819358,0.004264012504286642
1272,langchain-ai/langgraph,30849,654,0.0024288820196647696,0.0009469763229996416
633,rasbt/reasoning-from-scratch,4254,750,0.0023913772338128776,0.004866573043786124
274,microsoft/computervision-recipes,9847,790,0.002360868404590609,0.00787602574453191
90,onnx/onnx,20740,781,0.002342955323298881,0.004301614113994606
2699,bharathgs/Awesome-Distributed-Deep-Learning,442,622,0.002308412134944524,0.0017361034178882682
803,PetrochukM/PyTorch-NLP,2228,742,0.0023013253987830985,0.002894173350195617
1428,truefoundry/cognita,4410,649,0.002276378340859421,0.008372664304289188
1233,langgenius/dify,139687,582,0.00221648711363911,0.0008624267244516966
311,stanfordnlp/stanza,7783,714,0.002199568240251154,0.0040677924026179015
2133,qqlu/Entity,1043,395,0.0021705293050623942,5.374282071927985e-05
497,obss/sahi,5258,662,0.0021509614437387166,0.004371671560642038
2690,achuthasubhash/Complete-Life-Cycle-of-a-Data-Science-Project,639,658,0.0021477381914285203,0.0016124049937737866
283,hiyouga/LlamaFactory,70778,418,0.0021418512128772247,0.00046569586475330186
183,wandb/wandb,11039,677,0.002103405362167433,0.0028429534203852276
15,keras-team/keras,64049,728,0.0021033449364547276,0.003284452128427461
80,amusi/CVPR2026-Papers-with-Code,22500,572,0.002096729124355567,0.0030100912069505204
1,f/prompts.chat,161175,537,0.002086933510729182,0.001215014645856642
547,girafe-ai/ml-course,3475,687,0.0020818198251085825,0.0034240213674648643
1523,souvikmajumder26/Multi-Agent-Medical-Assistant,872,481,0.002073561447010811,0.0004589639022133297
2842,DiscreetAI/decentralized-ml,59,620,0.0020668072283373234,0.0023430399815003544
190,voxel51/fiftyone,10622,681,0.002059061528960406,0.005385475455641784
959,zenml-io/zenml,5373,661,0.002055658486979954,0.011087690492388275
816,youngfish42/Awesome-FL,1985,478,0.002053978118868195,0.0007983396524924631
1040,christianversloot/machine-learning-articles,3679,613,0.0020500740894216756,0.0010911355314150695
47,lutzroeder/netron,32824,651,0.0020481440805969354,0.0022187326045289978
390,HenryNdubuaku/maths-cs-ai-compendium,3347,659,0.0020316455943185895,0.003321795233758327
1060,PennyLaneAI/pennylane,3183,679,0.0020258290686172038,0.002649574116626062
107,arc53/DocsGPT,17867,584,0.0020172079728378823,0.009060477219806524
1271,AstrBotDevs/AstrBot,31005,532,0.0020052758752310664,0.0005709845398632065
231,cvat-ai/cvat,15745,458,0.0019385631151372477,0.0002984950259175461
2096,balavenkatesh3322/CV-pretrained-model,1360,567,0.0019309888299560676,0.002202306359984129
1375,dataelement/bisheng,11338,522,0.001916303945462742,0.0008269311513325507
672,MaximeVandegar/Papers-in-100-Lines-of-Code,2758,534,0.0018964190966118692,0.0012035022592410522
657,tirthajyoti/Data-science-best-resources,3199,646,0.0018715402704341804,0.0016776390595006439
46,ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,33327,624,0.0018377704217797319,0.0035270575338321253
370,SylphAI-Inc/AdalFlow,4121,518,0.0018322343718353716,0.0023566699520392604
2129,curiousily/Deep-Learning-For-Hackers,1072,617,0.001816124751397276,0.003023863481606938
54,donnemartin/data-science-ipython-notebooks,29046,601,0.001806383515937367,0.0011553314718060598
297,neuml/txtai,12437,451,0.0018036809644477799,0.0005681680684752285
1781,om-ai-lab/OmAgent,2640,432,0.0017939047694832408,0.000751454343869552
555,louisfb01/best_AI_papers_2022,3189,587,0.0017752268009295304,0.003545400498621993
199,satellite-image-deep-learning/techniques,10129,555,0.001767862789921922,0.0025554631192877364
23,GokuMohandas/Made-With-ML,47453,610,0.0017659312390855067,0.0023695251598215023
2504,amaiya/ktrain,1265,606,0.0017524794905251768,0.003197487653408724
1519,aniketpotabatti/Data-Science-EBooks,902,590,0.0017504083291550018,0.003883890354541581
49,Lightning-AI/pytorch-lightning,31095,605,0.0017487426965755713,0.0029424335822508135
462,roboflow/notebooks,9361,494,0.001736479428412393,0.0011356718905781024
1174,openvinotoolkit/nncf,1155,413,0.0017168448023505084,0.0023440408312449634
1421,ashishps1/learn-ai-engineering,5427,464,0.0016775313907950872,0.003244630181618586
2044,azavea/raster-vision,2217,460,0.0016697679030208338,0.0005872078048348522
